index,word,levelNumber,context,writtenFrequencyPerMillion,spokenFrequencyPerMillion,frequencyPerMillion,zhuyin,pinyin
1,愛,1,核心詞,535,681,1216,ㄞˋ,ài
2,吧,1,核心詞,706,748,1454,˙ㄅㄚ,ba
3,八,1,核心詞,214,163,377,ㄅㄚ,bā
4,爸爸/爸,1,核心詞,226,806,1032,ㄅㄚˋ ˙ㄅㄚ / ㄅㄚˋ,bàba / bà 
5,百,1,核心詞,108,77,185,ㄅㄞˇ,bǎi
6,半,1,核心詞,334,279,613,ㄅㄢˋ,bàn
7,本,1,核心詞,745,368,1113,ㄅㄣˇ,běn
8,不,1,核心詞,9278,8951,18229,ㄅㄨˋ,bù
9,茶,1,10.餐飲、烹飪,89,449,538,ㄔㄚˊ,chá
10,車子/車,1,核心詞,275,320,595,ㄔㄜ ˙ㄗ / ㄔㄜ,chēzi / chē
11,吃,1,核心詞,668,1438,2106,ㄔ,chī
12,吃飯,1,核心詞,60,140,200,ㄔ ㄈㄢˋ,chīfàn
13,打,1,核心詞,352,364,716,ㄉㄚˇ,dǎ
14,大,1,核心詞,2110,2859,4969,ㄉㄚˋ,dà
15,大家,1,核心詞,464,1712,2176,ㄉㄚˋ ㄐㄧㄚ,dàjiā
16,大學,1,8.教育、學習,380,219,599,ㄉㄚˋ ㄒㄩㄝˊ,dàxué
17,帶,1,核心詞,450,684,1134,ㄉㄞˋ,dài
18,到,1,核心詞,2297,3229,5526,ㄉㄠˋ,dào
19,的,1,核心詞,62002,62578,124580,ㄉㄜ˙,de
20,點,1,核心詞,479,684,1163,ㄉㄧㄢˇ,diǎn
21,電話,1,核心詞,167,72,239,ㄉㄧㄢˋ ㄏㄨㄚˋ,diànhuà
22,弟弟/弟,1,核心詞,96,88,184,ㄉㄧˋ ˙ㄉㄧ / ㄉㄧˋ,dìdi / dì
23,東西,1,核心詞,561,1120,1681,ㄉㄨㄥ ˙ㄒㄧ,dōngxi
24,都,1,核心詞,4645,7029,11674,ㄉㄡ,dōu
